iteration,edge_v0,edge_v1,incidence,kept_face_0,kept_face_1,rejected_faces,kept_visibility_hits,rejected_visibility_hits,pair_abs_normal_dot
0,8031,8044,3,16453,16447,16456,2,1,0.9999972002787957
0,8039,8045,3,16472,16451,16474,0,0,0.9993799239412137
0,8044,8046,3,16482,16481,16456,1,1,0.9999009338387632
0,8045,8046,3,16480,16485,16475,0,0,0.9999874533555901
0,8657,8663,3,17737,17750,17748,0,0,0.9999607102718316
0,8657,8669,3,17746,17735,17749,1,1,0.9999988901548356
0,8663,8664,3,17754,17751,17762,0,0,0.9990830962792266
0,8664,8674,3,17764,17763,17752,0,0,0.9999270250593768
0,8669,8670,3,17776,17775,17747,1,0,0.9895511774783536
0,8670,8674,3,17777,17780,17753,0,0,0.9998309196419435
0,8812,8815,3,18038,17856,18037,0,0,0.7362197935962642
0,8815,8816,3,18044,18042,17862,0,0,0.9531400628857991
0,8816,8822,3,18046,18044,18048,0,0,0.8095002031966197
0,9077,9078,3,18550,18556,18560,1,1,0.9999489469542283
0,9077,9091,3,18556,18547,18558,2,0,0.9993735169788044
0,9078,9080,3,18561,18564,18562,2,0,0.9986392921513891
0,9080,9094,3,18568,18567,18562,0,0,0.9997345486542395
0,9085,9089,3,18575,18580,18578,0,0,0.9999035269638303
0,9089,9090,3,18583,18581,18586,0,0,0.9999997613146703
0,9091,9093,3,18572,18593,18559,0,0,0.9995765470778142
0,9093,9094,3,18593,18595,18566,1,0,0.9999758924081894
0,9603,9607,3,19689,19699,19701,1,0,0.9998098320217076
0,9603,9669,3,19696,19693,19700,1,0,0.9999428539369452
0,9606,9607,3,19712,19715,19698,0,0,0.9999918025160164
0,9606,9674,3,19710,19713,19695,0,0,0.9999488292328877
0,9668,9669,3,19825,19828,19697,0,0,0.9999482175313199
0,9668,9674,3,19694,19826,19828,0,0,0.9999925936169
0,9888,9894,3,20247,20252,20250,0,0,0.9999338718149836
0,9888,9956,3,20248,20245,20251,1,1,0.9999178920758554
0,9894,9898,3,20268,20253,20267,0,0,0.9974179370075281
0,9898,9967,3,20270,20275,20267,0,0,0.9995299159042832
0,9905,9909,4,20294,20292,20287;20296,0,0,0.9854540091183714
0,9956,9961,3,20249,20380,20382,0,0,0.9993254410264033
0,9961,9967,3,20271,20390,20383,0,0,0.9999860822521202
0,9963,9964,3,20387,20398,20396,0,0,0.9992460228333293
0,9963,9973,3,20394,20385,20397,0,0,0.9999906175864618
0,9964,9966,3,20388,20399,20400,1,0,0.998825165832064
0,9966,9976,3,20404,20402,20401,0,0,0.9984541838874194
0,9973,9975,3,20395,20417,20418,0,0,0.9998765345168577
0,9975,9976,3,20419,20422,20403,0,0,0.9995912893579114
0,10105,10127,3,20689,20669,20693,1,0,0.8807603380822266
0,10119,10127,3,20669,20719,20720,0,0,0.9010458048940705
0,10119,12041,3,20671,20717,20721,0,0,0.9261768103381222
0,10725,10733,3,21876,19011,21875,0,0,0.9983205705701509
0,10726,10734,3,21878,21880,21873,0,0,0.9941323279584017
0,10733,10735,3,21877,21891,21892,0,0,0.999610646894255
0,10734,10735,3,21881,21894,21891,0,0,0.9944274921866778
0,10805,10807,3,22034,22041,22038,1,0,0.999977457932477
0,10805,10862,3,22040,22032,22037,3,0,0.9999992641146507
0,10807,10816,3,22044,22043,22038,1,0,0.9998229797037058
0,10816,10871,3,22059,22062,22045,1,1,0.9998733086776013
0,10862,10869,3,22154,22037,22156,1,0,0.9995285037963281
0,10869,10871,3,22059,22168,22157,1,0,0.9999179372291782
0,11528,11535,3,23605,23597,23611,0,0,0.9999953432059774
0,11528,11585,3,23594,23609,23610,0,0,0.9997568395783201
0,11529,11535,3,23614,23617,23597,0,0,0.9998963702432978
0,11529,11586,3,23612,23614,23593,1,0,0.9996103827568805
0,11561,11563,3,23672,23675,23667,1,0,0.9999483396318587
0,11561,11565,3,23674,23677,23670,0,0,0.9998021331023039
0,11562,11563,3,23666,23678,23680,0,0,0.9999814190721148
0,11562,11566,3,23620,23681,23669,0,0,0.9999495923321328
0,11564,11565,3,23641,23671,23685,0,0,0.9999640468966641
0,11564,11566,3,23684,23627,23668,0,0,0.999912213850482
0,11579,11585,3,23704,23708,23595,3,0,0.9997532077552769
0,11579,11586,3,23592,23706,23708,2,2,0.9999243295979212
0,11968,11970,3,24458,24461,24453,1,0,0.9963438771108292
0,11968,11984,3,24460,24437,24456,1,0,0.9954746611003998
0,11969,11970,3,24466,24462,24452,2,1,0.9940102635680294
0,11969,11985,3,24464,24467,24455,0,0,0.9942813214148074
0,12016,12041,3,20670,24545,24550,0,0,0.9435075250501533
0,12523,12622,3,25508,25510,25505,0,0,0.9214383508796553
0,12540,12561,3,25523,25548,25552,0,0,0.9667668067779043
0,12546,12549,3,25564,25563,25566,0,0,0.9724465743867484
0,12549,12555,3,25571,25572,25567,0,0,0.9968814363862775
0,12552,12556,4,25575,25583,25580;25576,0,0,0.983672390978723
0,12552,12561,3,25522,25580,25579,0,0,0.9294101407996943
0,12553,12768,3,25569,25587,25584,0,0,0.8548249460077998
0,12555,12770,3,25592,25585,25595,0,0,0.996801914213108
0,12556,12571,3,25583,25590,25598,0,0,0.9853543097237504
0,12556,12771,3,25594,25599,25596,0,0,0.9574436112273798
0,12560,12562,3,25547,25606,25603,0,0,0.9245766938023608
0,12562,12566,3,25610,25613,25607,0,0,0.9301774842098118
0,12563,12567,3,25612,25615,25609,0,0,0.8201336486074605
0,12564,12776,3,25616,25619,25593,0,0,0.5636607113257779
0,12565,12777,3,25618,25597,25620,0,0,0.6497709833390203
0,12566,12567,3,25622,25613,25624,0,0,0.9971714909338101
0,12567,12573,3,25626,25628,25615,0,0,0.9515920137486217
0,12567,12779,3,25623,25626,25621,0,0,0.9866718833968741
0,12585,12616,3,25658,25651,25557,0,0,0.9776703598577398
0,12589,12591,3,25663,25665,25666,1,0,0.9618604080527635
0,12597,14775,3,25492,25681,25673,0,0,0.729368136820299
0,12600,14778,3,25688,25680,25679,0,0,0.6842848074832556
0,12620,12621,3,25728,25501,25714,0,0,0.8814049349883559
0,12621,12624,3,25728,25717,25730,0,0,0.9997536133507315
0,12622,12627,3,25736,25511,25732,0,0,0.9889664839262048
0,12631,12635,4,25750,25749,25701;25753,0,0,0.9994995757359995
0,12633,12635,4,25760,25705,25748;25757,0,0,0.9897017954705836
0,12633,12816,3,25756,25633,25758,0,0,0.99918081176765
0,12639,12640,3,25772,25739,25774,0,0,0.8178650793277391
0,12642,12647,3,25780,25783,25743,0,0,0.9978241103431588
0,12642,14825,3,25782,25741,25779,0,0,0.9960839459431864
0,12647,12650,3,25792,25780,25791,0,0,0.9987450019172418
0,12648,12650,3,25796,25791,25789,0,0,0.9930883880679888
0,12648,12832,3,25771,25794,25786,0,0,0.9669410873920806
0,12691,12768,3,25873,25881,25882,0,0,0.884439326311739
0,12768,12769,3,25587,25882,26036,0,0,0.9987321219154254
0,12769,12773,3,25885,26039,26037,0,0,0.9448928432679319
0,12771,12775,3,26044,26047,26042,0,0,0.7639937356745762
0,12771,12777,3,25597,26044,26048,0,0,0.9632614356212793
0,12771,12798,3,26046,26049,25599,0,0,0.65578877134262
0,12776,12780,3,26058,26060,26041,0,0,0.7159134478733717
0,12777,12779,3,25621,26063,26066,0,0,0.9960712571142522
0,12777,12781,4,26061,26065,26062;26045,0,0,0.9637952395917562
0,12777,12801,3,26064,26048,26066,0,0,0.5523893014260594
0,12779,12783,3,26063,26070,26069,0,0,0.9319000565170463
0,12779,12802,3,26067,25627,26070,0,0,0.8529837660355707
0,12780,12781,3,26072,26061,26074,0,0,0.9699602302493644
0,12781,12783,3,26062,26077,26075,0,0,0.95562047970101
0,12781,12792,3,26076,26072,26079,0,0,0.9996187565716994
0,12786,12787,3,26090,26055,26082,0,0,0.9998008123408724
0,12787,12790,3,26090,26085,26093,0,0,0.9525855013433755
0,12790,12862,3,26100,26095,26103,0,0,0.9933666142346651
0,12792,12795,3,26106,26105,26108,0,0,0.9849046292271892
0,12795,12867,3,26114,26113,26117,1,0,0.9331424894553549
0,12804,12811,4,26128,26130,26081;26127,0,0,0.9999868580853378
0,12804,12820,3,26124,26129,26132,0,0,0.9999905248121241
0,12806,12808,3,26136,25929,26086,0,0,0.7141635603095033
0,12808,12882,3,26138,26096,25931,0,0,0.861964586371419
0,12811,12814,4,26142,26144,26110;26141,0,0,0.9999988778599109
0,12814,12888,4,26118,26153,26150;26149,0,0,0.9995267789492731
0,12816,12820,3,26125,26158,26156,0,0,0.999209923428622
0,12819,12823,4,26162,26168,26166;26161,0,0,0.9938116683344508
0,12837,12855,3,26191,26202,26204,0,0,0.8642782061069733
0,12841,12845,4,26147,26217,26214;26211,0,0,0.9994881462653057
0,12845,12908,4,26155,26222,26224;26227,0,0,0.9999514069661519
0,12848,12851,4,26231,26235,26232;26219,0,0,0.9999865544956222
0,12851,12915,4,26228,26239,26240;26242,0,0,0.9996048239561561
0,12855,12858,3,26248,26237,26246,0,0,0.908925452582824
0,12858,12922,3,26254,26245,26252,0,0,0.9116051686795682
0,12867,12870,3,26276,26279,26275,0,0,0.9610486133340796
0,12870,12878,3,26284,26287,26283,0,0,0.9466833982494178
0,12874,12876,3,26291,26298,26296,2,1,0.8374171357046208
0,12876,12898,3,26304,26299,26300,1,1,0.9929777071992956
0,12878,12880,3,26306,26309,26297,0,0,0.7667125443787627
0,12880,13036,3,26312,26303,26315,1,0,0.8142498280871667
0,12882,12884,3,26318,26260,26029,0,0,0.9475557934067778
0,12884,12893,4,26031,26324,26322;26268,0,0,0.9270680629271644
0,12887,12890,3,26326,26278,26321,0,0,0.8551799159198314
0,12888,12891,4,26328,26280,26327;26330,0,0,0.9999714050249875
0,12891,12901,4,26288,26339,26336;26335,0,0,0.9999795064657779
0,12893,12896,4,26033,26344,26342;26292,0,0,0.9343693144515258
0,12895,12898,3,26346,26343,26299,0,0,0.9434857254658666
0,12896,12897,3,26348,26345,26351,0,0,0.9999507023716953
0,12896,12898,3,26350,26301,26343,0,0,0.9969628844736865
0,12898,12899,3,26350,26357,26354,0,0,0.7730469609679558
0,12900,12903,3,26358,26347,26308,0,0,0.7958569808219853
0,12901,12905,4,26360,26310,26359;26362,0,0,0.9999406423972265
0,12903,12904,3,26356,26369,26366,0,0,0.7611831236343801
0,12908,12911,4,26374,26378,26376;26333,0,0,0.9998943518197604
0,12911,12928,4,26341,26386,26384;26382,0,0,0.9999440779771913
0,12919,12935,3,26388,26406,26404,0,0,0.998972528762518
0,12920,12936,3,26408,26403,26407,0,0,0.9446010799805795
0,12922,12925,3,26412,26399,26411,0,0,0.9554487609013151
0,12925,12942,3,26418,26409,26417,0,0,0.955771650448249
0,12928,12931,4,26423,26426,26424;26365,0,0,0.9987242686514574
0,12931,13090,4,26432,26373,26431;26434,0,0,0.999520312124258
0,12936,12940,3,26441,26443,26444,0,0,0.9523544564363983
0,12940,13099,3,26452,26449,26451,0,0,0.9602102253174962
0,13053,13065,3,26684,26679,26683,0,0,0.990956846111625
0,13056,13060,3,26688,26644,26690,0,0,0.9850045311021459
0,13058,13070,3,26649,26681,26695,2,0,0.985442924783788
0,13059,13071,3,26696,26685,26694,0,0,0.9916546238654823
0,13065,13069,3,26708,26703,26706,0,0,0.9432920093279754
0,13068,13069,3,26714,26713,26707,0,0,0.9969132915833271
0,13070,13074,3,26661,26705,26718,2,0,0.9999970587737873
0,13071,13075,3,26720,26709,26719,0,0,0.9583667243653251
0,13075,13154,3,26717,26726,26725,0,0,0.9994883119840793
0,13076,13155,3,26669,26731,26723,1,0,0.5970862832148218
0,13077,13156,3,26732,26734,26730,0,0,0.7715223559656187
0,13082,13084,3,26744,26741,26746,1,0,0.9931753575849843
0,13082,13110,3,26743,26748,26746,0,0,0.9436677326804678
0,13084,13086,3,26745,26753,26754,0,0,0.9092732275452138
0,13086,13121,3,26755,26760,26757,0,0,0.9982962742135286
0,13090,13093,4,26772,26693,26770;26774,0,0,0.9999933827959058
0,13098,13099,3,26792,26451,26791,0,0,0.9851636651914877
0,13098,13101,3,26789,26793,26776,0,0,0.9899958147833791
0,13101,13102,3,26800,26793,26802,0,0,0.9999888104386836
