loop_id,v0,v1,length_mm,local_median_mm,ratio_to_local_median,max_adjacent_normal_jump_deg,first_new_face_index
0,982,990,0.8450935502189972,0.51585616357356,1.6382348605949895,10.189444647478247,870466
0,966,990,0.8493478545772066,0.51585616357356,1.6464819353778863,10.189444647478247,870466
0,966,982,0.9372233725566258,0.51585616357356,1.816830812031152,10.189444647478247,870466
2,1163,1166,0.8570752774255616,0.5621355585900082,1.5246772141142324,8.643345589987732,870470
2,1149,1166,0.8609708272640152,0.5621355585900082,1.5316071259102852,8.643345589987732,870470
2,1149,1163,0.8849403576926647,0.5621355585900082,1.5742472508096452,8.643345589987732,870470
3,1274,7855,0.7882927978540463,0.5521453481683366,1.42769073482027,49.77390671879026,870474
3,1274,8021,0.8764262681854743,0.5521453481683366,1.587310788894434,49.77390671879026,870474
3,1375,8021,0.8927401814829033,0.5521453481683366,1.6168571997290961,49.77390671879026,870474
3,1384,8034,0.9062415002765769,0.5521453481683366,1.641309671960298,49.77390671879026,870474
3,1375,8023,1.0448080021326638,0.5521453481683366,1.8922698626342962,49.77390671879026,870474
3,1376,8023,0.8941022848041592,0.5521453481683366,1.6193241286378957,49.77390671879026,870474
3,1382,8023,1.0673037706524346,0.5521453481683366,1.933012338495765,49.77390671879026,870474
3,1382,8032,0.9183534619878737,0.5521453481683366,1.6632458555240577,49.77390671879026,870474
3,1382,8034,1.1409342686246604,0.5521453481683366,2.0663658082234093,49.77390671879026,870474
5,1796,1811,0.7916352452796493,0.4859229080882248,1.6291375279963525,4.446626163910207,870484
5,1795,1810,0.8726289881016039,0.4859229080882248,1.795817759518282,4.446626163910207,870484
5,1795,1811,1.0371068663717393,0.4859229080882248,2.134303300192303,4.446626163910207,870484
8,2333,2337,0.9197443429604892,0.5441231101021936,1.6903239834598258,1.865520851257674,870488
8,2331,2333,0.944029380530808,0.5441231101021936,1.7349554962910996,1.865520851257674,870488
8,2331,2337,0.960102425410597,0.5441231101021936,1.7644948497597848,1.865520851257674,870488
10,2570,2670,0.8377039163281783,0.4760264447126292,1.7597844103679763,3.3148488340733646,870492
10,2570,2675,0.8432454254469363,0.4760264447126292,1.7714255895089865,3.3148488340733646,870492
10,2670,2675,0.8531540387200566,0.4760264447126292,1.7922408475333638,3.3148488340733646,870492
12,3926,3927,0.832404249650522,0.5524479816546087,1.5067558888665507,3.810076296686474,870496
